name,type,website_url,region_code,locality,address,public_transit,map_link,artist_summary,visitor_summary,facebook,instagram,claim_status,claimed_by_user_id,normalized_url
Nevins Memorial Library (Methuen),library,https://www.nevinslibrary.org/about-nevins-library/policies/#artexhibitpol,BOS,Methuen,"305 Broadway, Methuen, MA 01844",,https://www.google.com/maps?q=305%20Broadway%2C%20Methuen%2C%20MA%2001844,Contact staff for availability and guidelines.,Displays/exhibits hosted in library areas.,,,unclaimed,,nevinslibrary.org
Greenway Artisan Market (NE Open Markets),market,https://www.newenglandopenmarkets.com/greenway,BOS,Boston,"Dewey Square, Boston, MA (seasonal)",,,Apply via NE Open Markets; category juried; fees vary by event.,"Outdoor maker/art market on the Rose Kennedy Greenway, spring-fall.",,,unclaimed,,newenglandopenmarkets.com/greenway
"Newton City Hall Galleries (e.g., 'Connected')",gallery - non-profit,https://www.newtonma.gov/government/parks-recreation-culture/cultural-development/city-hall-galleries,BOS,Newton,"1000 Commonwealth Ave, Newton, MA 02459",MBTA Bus; parking,,,,,,unclaimed,,newtonma.gov
Norfolk Public Library,library,https://www.norfolkpubliclibrary.org/6090/Policies,BOS,Norfolk,,,,Art shown: community 2D/photography and occasional craft depending on calendar. Themes often local/regional. Scale small to medium with library hanging systems; price band N/A (artist-direct if permitted).,Norfolk Public Library hosts rotating community art displays; good local visibility.,,,unclaimed,,
Morrill Memorial Library (Norwood),library,https://www.norwoodlibrary.org/wp-content/uploads/2023/01/Exhibit-policyMML.doc.pdf,BOS,Norwood,,,,Email or call the library to inquire about exhibit availability and policies; details not posted publicly.,Public library with rotating displays and youth art showcases; see calendar for current programs.,,,unclaimed,,norwoodlibrary.org
Panopticon Gallery,gallery - commercial,https://www.panopticongallery.com/,BOS,,,,,,,,,unclaimed,,
Pao Arts Center (One Greenway),association,https://www.paoartscenter.org/call-for-artists,BOS,Boston,"99 Albany St, Boston, MA 02111",,https://www.google.com/maps?q=99%20Albany%20St%2C%20Boston%2C%20MA%2002111,Posts calls for exhibitions and public art; check Directions/Visit for specifics.,"Chinatown's arts center with exhibitions, residencies, and cultural programs.",,https://www.instagram.com/paoartscenter/,unclaimed,,paoartscenter.org/directions
Pellas Gallery,gallery - commercial,https://www.pellasgallery.com/,BOS,,,,,,,,,unclaimed,,
Pembroke Public Library,library,https://www.pembrokepubliclibrary.org/exhibits--displays.html,BOS,Pembroke,"142 Center St, Pembroke, MA 02359",,https://www.google.com/maps?q=142%20Center%20St%2C%20Pembroke%2C%20MA%2002359,Review display/exhibit policy; coordinate with staff; price display restrictions may apply.,Community displays and periodic art exhibits in library spaces.,,,unclaimed,,pembrokepubliclibrary.org
Praise Shadows Art Gallery,gallery - commercial,https://www.praiseshadows.com/,BOS,,,,,,,,,unclaimed,,
Pucker Gallery,gallery - commercial,https://www.puckergallery.com/contact,BOS,Boston,"240 Newbury St, 3rd Floor, Boston, MA 02116",,https://www.google.com/maps/search/?api=1&query=240%20Newbury%20St%2C%20Boston%2C%20MA%2002116,Reviews unsolicited submissions by email; guidelines posted.,Eclectic contemporary and ceramic program; multi-floor gallery on Newbury Street.,,https://www.instagram.com/puckergallery/,unclaimed,,puckergallery.com
Quincy Art Center,association,https://www.quincyartma.org/,BOS,,,,,,,,,unclaimed,,
Quincy ArtsFest (@ the Q),market,https://www.quincyartma.org/artsfest2025,BOS,Quincy,Multi-site; see call page,MBTA Red Line (Quincy Center) varies by site,,,,,,unclaimed,,quincyartma.org/artsfest2025
Quincy Art Association - QArts Gallery,association,https://www.quincyartma.org/memberships,BOS,Quincy,,,,Membership and open calls posted seasonally; commission/fees vary by show.,Local arts association with gallery shows and annual ArtsFest.,,,unclaimed,,
Renjeau Galleries,gallery - commercial,https://www.renjeau.com/,BOS,,,,,,,,,unclaimed,,
Robert Klein Gallery,gallery - commercial,https://www.robertkleingallery.com/,BOS,,,,,,,,,unclaimed,,
Rockport Art Association & Museum (RAA&M),association,https://www.rockportartassn.org/juried-artist-membership,BOS,Rockport,,,https://www.google.com/maps/search/?api=1&query=Rockport+Art+Association+and+Museum,"Prestige exhibitions (plein air, marine, landscape traditions) with some contemporary shows.",Historic association in a destination town; strong collector base in summer season.,,,unclaimed,,rockportartassn.org
Rowley Public Library,library,https://www.rowleylibrary.org/about-the-rowley-public-library/gallery-and-display-case/,BOS,Rowley,"141 Main St, Rowley, MA 01969",,https://www.google.com/maps?q=141%20Main%20St%2C%20Rowley%2C%20MA%2001969,Call or email to book; library supplies basic hanging hardware.,Monthly exhibits in the gallery and lobby display case.,https://www.facebook.com/RowleyPublicLibrary/,,unclaimed,,rowleylibrary.org/about-the-rowley-public-library/gallery-and-display-case
Saatchi Art (online gallery),online,https://www.saatchiart.com/,BOS,Online,,,,Originals: 40% commission to Saatchi; open edition prints: artist receives 60% of profit after production. No listing fees.,Global online gallery for originals and prints; large collector base.,,,unclaimed,,
Salem Arts Festival (Salem Main Streets),market,https://www.salemartsfestival.com/saf-2025-gallery,BOS,Salem,Central Salem (multiple sites),MBTA Commuter Rail (Salem) + walk,,Vendor applications each spring; strong foot traffic; public art/murals components change yearly.,"High-traffic free festival with exhibitions, performances, and a juried artisan market.",,,unclaimed,,salemartsfestival.com
Artists' Row (City of Salem),market,https://www.salemma.gov/854/Calls-for-Artists,BOS,Salem,"24 New Derby St, Salem, MA 01970",MBTA Commuter Rail (Salem) + walk,,Annual/seasonal RFQs for vendor stalls or public art; good for makers and craft artists.,"City-run creative marketplace; rotating makers, small studios, and public art activations.",,,unclaimed,,salemma.gov/854/calls-for-artists
Saugus Public Library,library,https://www.sauguspubliclibrary.org/?s=EXHIBIT,BOS,Saugus,,,,Art shown: 2D/photography exhibits; themes local/regional. Small scale; price band N/A.,Central library with community displays; near Saugus Center businesses.,,,unclaimed,,sauguspubliclibrary.org
North River Arts Society (NRAS) / Front Street Art Gallery,association,https://www.scituateartsassociation.com/join-on-line,BOS,Scituate / Marshfield (satellite shows),"124 Front St, Scituate, MA (gallery)",,https://www.google.com/maps/search/?api=1&query=124+Front+St+Scituate+MA,"Pathways: apply to co-op, enter juried/member shows, or exhibit in satellite library shows.",Co-op gallery on Scituate Harbor plus juried shows; beach-town foot traffic.,,,unclaimed,,scituateartsassociation.com
ShowUp,gallery - commercial,https://www.showupinc.org/,BOS,,,,,,,,,unclaimed,,
Singulart Online Gallery,online,https://www.singulart.com/en/application,BOS,Online,,,,Apply online; selection by admission committee; terms provided upon acceptance.,International online gallery for originals and commissions.,,,unclaimed,,singulart.com/en/application
Sitka Home Art Gallery,gallery - commercial,https://www.sitkahome.com/,BOS,,,,,,,,,unclaimed,,
Somerville Winter Farmers Market (at the Armory),market,https://www.somwintermarket.org/,BOS,Somerville,,,,Seasonal application. Fees/insurance vary by category; not centrally posted. Lead time seasonal.,Indoor winter market with food & some artisan vendors.,,,unclaimed,,
SoWa Open Market (South End),market,https://www.sowaboston.com/sowa-open-market/,BOS,Boston - South End,,,,Apply via SoWa; applications considered through season based on availability. Application + booth fees (vary). Insurance: varies. Lead time seasonal.,"Large outdoor market with art/craft, vintage, food; heavy traffic.",,,unclaimed,,
Steven Zevitas Gallery,gallery - commercial,https://www.stevenzevitasgallery.com/,BOS,Boston,"450 Harrison Ave, #47, Boston, MA 02118",,https://www.google.com/maps/search/?api=1&query=450%20Harrison%20Ave%20%2347%2C%20Boston%2C%20MA%2002118,Curated commercial gallery; submissions not posted (N/A).,Contemporary gallery with national fair presence; strong painting focus.,https://www.facebook.com/p/Steven-Zevitas-Gallery-100069650859453/,https://www.facebook.com/p/Steven-Zevitas-Gallery-100069650859453/,unclaimed,,stevenzevitasgallery.com
Storefront Art Projects,gallery - commercial,https://www.storefrontartprojects.com/contact,BOS,Watertown,,,https://www.google.com/maps?q=Storefront%20Art%20Projects%2C%20Watertown%2C%20MA,Curated program; artists can pitch proposals via email/contact.,Small Watertown gallery mounting thoughtful contemporary exhibitions.,,,unclaimed,,storefrontartprojects.com
Stoughton Public Library,library,https://www.stoughtonpubliclibrary.org/exhibit-request,BOS,Stoughton,"84 Park St, Stoughton, MA 02072",,https://www.google.com/maps?q=84%20Park%20St%2C%20Stoughton%2C%20MA%2002072,Email/call to schedule; artist handles inquiries for sales if permitted.,Community exhibits in library public areas.,,,unclaimed,,stoughton.org/657/library
Swampscott Arts Association,association,https://www.swampscottarts.org/join,BOS,Swampscott,"Swampscott, MA (various venues)",,https://www.google.com/maps?q=Swampscott%20MA,Membership-based; watch for exhibit calendars and any open calls.,Association presenting juried/member shows around town and nearby galleries.,https://www.facebook.com/swampscottarts/,,unclaimed,,swampscottarts.org
Tappan Collective - Online Platform,online,https://www.tappancollective.com/pages/artist-submissions,BOS,Online,,,,"Email portfolio (bio, statement, CV, works) to submissions@thetappancollective.com for consideration.",Curated platform for emerging artists (originals & editions).,,,unclaimed,,tappancollective.com/pages/artist-submissions
Tewksbury Public Library,library,https://www.tewksburypl.org/get-involved/pages/display-your-artwork-or-collection,BOS,Tewksbury,"300 Chandler St, Tewksbury, MA 01876",,https://www.google.com/maps?q=300%20Chandler%20St%2C%20Tewksbury%2C%20MA%2001876,Contact staff for policies and availability.,Community exhibits/displays in library spaces.,,,unclaimed,,tewksburypl.org
Thayer Public Library,library,https://www.thayerpubliclibrary.org/display-cases/,BOS,Braintree,"798 Washington St, Braintree, MA 02184",,,Email/online request to schedule monthly displays; specs listed on the policy page.,Two lockable lobby display cases feature rotating community exhibits.,,,unclaimed,,thayerpubliclibrary.org
Loading Dock Gallery (at Western Avenue),gallery - non-profit,https://www.theloadingdockgallery.com/call-for-artists.html,BOS,Lowell,"122 Western Ave, Lowell, MA 01851",,https://www.google.com/maps?q=122%20Western%20Ave%2C%20Lowell%2C%20MA%2001851,Membership and juried calls posted on the site; terms vary by show.,Member-run gallery inside Western Avenue with rotating juried/member shows.,https://www.facebook.com/LoadingDockGallery/,,unclaimed,,theloadingdockgallery.com
Three Stones Gallery (Concord),gallery - commercial,https://www.threestonesgallery.com/contact,BOS,Concord,"115 Commonwealth Ave, Concord, MA 01742",MBTA Commuter Rail (West Concord),,Accepts artist submissions via contact form; selection is curated.,"Contemporary gallery in West Concord exhibiting regional artists across painting, photography, and mixed media; works for sale.",https://www.facebook.com/threestonesgallery/,https://www.instagram.com/threestonesgallery/,unclaimed,,threestonesgallery.com
Duxbury Free Library,library,https://www.town.duxbury.ma.us/sites/g/files/vyhlif10506/f/pages/display_of_art_policy_0.pdf,BOS,Duxbury,,,,Art shown: N/A. Themes: N/A. Size/installation constraints: N/A.,Active library with community displays; near Art Complex Museum and DAA programs.,,,unclaimed,,town.duxbury.ma.us/free-library
Hudson Public Library,library,https://www.townofhudson.org/179/Art-in-the-Hall,BOS,Hudson,,,https://www.google.com/maps?q=Hudson%20Public%20Library%2C%20Hudson%2C%20MA,Contact library staff for exhibit opportunities and timing.,Displays/exhibits hosted in library spaces.,,,unclaimed,,
TurningArt (corporate art services),association,https://www.turningart.com/,BOS,Online/Corporate,,,,Artists apply; original sales pay 60% to artist (40% commission). Prints pay 25% of revenue. Rentals and commissions available. No exclusivity on listed pieces.,"Corporate art rentals, purchases, and commissions curated by advisors.",,,unclaimed,,
UGallery Online Marketplace,online,https://www.ugallery.com/pages/for-artists,BOS,Online,,,,Apply online; simple application process; see FAQ for details.,Curated online gallery offering originals and commissions.,,,unclaimed,,ugallery.com/pages/for-artists
Vose Galleries of Boston,gallery - commercial,https://www.vosegalleries.com/,BOS,Boston,"238 Newbury St, Boston, MA 02116",,https://www.google.com/maps?q=238%20Newbury%20St%2C%20Boston%2C%20MA%2002116,Curated program; proposals via contact form/email when considered.,One of the nation's oldest galleries; exhibitions and private sales on Newbury Street.,,,unclaimed,,vosegalleries.com
Lucius Beebe Memorial Library (Wakefield),library,https://www.wakefieldlibrary.org/blake-gallery/,BOS,Wakefield,"345 Main St, Wakefield, MA 01880",,https://www.google.com/maps?q=345%20Main%20St%2C%20Wakefield%2C%20MA%2001880,Contact library staff; timing varies.,Displays/exhibits in public areas.,,,unclaimed,,wakefieldlibrary.org
Watertown Arts Market,market,https://www.watertownartsmarket.com/,BOS,Watertown,"Arsenal Park, Watertown, MA",MBTA Bus 70 to Arsenal Yards/Park,,,,,,unclaimed,,watertownartsmarket.com
Wellesley Free Library - Wakelin Room Exhibits,library,https://www.wellesleyfreelibrary.org/library-info/policies/exhibit-policy/,BOS,Wellesley,,,,Massachusetts artists may apply; scheduling on a rolling basis; see Exhibit Policy for details.,Ongoing art exhibits at the main library; community-oriented programming.,,,unclaimed,,wellesleyfreelibrary.org/library-info/policies/exhibit-policy
Westwood Public Library,library,https://www.westwoodlibrary.org/about/fall-members-exhibit,BOS,Westwood,"660 High St, Westwood, MA 02090",,https://www.google.com/maps?q=660%20High%20St%2C%20Westwood%2C%20MA%2002090,Contact staff for availability and policies.,Displays/exhibits in main library spaces.,,,unclaimed,,westwoodlibrary.org
Whitman Public Library,library,https://www.whitmanpubliclibrary.org/request-to-exhibit-form,BOS,Whitman,"100 Webster St, Whitman, MA 02382",Commuter Rail (Middleboro/Lakeville Line to Whitman),,Submit application online after reviewing policy & waiver; sales are between artists and buyers.,Library displays community art throughout the year.,,,unclaimed,,whitmanpubliclibrary.org/request-to-exhibit-form
Wilmington Memorial Library,library,https://www.wilmingtonlibrary.org/about-us/policies-procedures/exhibits-policy/,BOS,Wilmington,,,https://www.google.com/maps?q=Wilmington%20Memorial%20Library%2C%20Wilmington%2C%20MA,Contact staff to propose an exhibit; scheduling governed by library policy.,Public library with displays/exhibits in shared spaces.,,,unclaimed,,wilmingtonlibrary.org
Winchester Public Library,library,https://www.winpublib.org/art/,BOS,Winchester,"80 Washington St, Winchester, MA 01890",,https://www.google.com/maps?q=80%20Washington%20St%2C%20Winchester%2C%20MA%2001890,Submissions accepted periodically; artists provide hanging-ready work; see site for timing.,Monthly exhibits; free public access.,,,unclaimed,,winpublib.org/art
Zatista - Online Gallery,online,https://www.zatista.com/art/sell-art-online/,BOS,Online,,,,"Create profile, list 3-5 works, request review; 45% commission on sales.",Curated e-commerce gallery with commissioned works option.,,,unclaimed,,zatista.com
Zullo Gallery Center for the Arts,gallery - non-profit,https://zullogallery.org/exhibitions/submit-artwork/,BOS,Medfield,"456 Main St, Medfield, MA 02052",,https://www.google.com/maps?q=456%20Main%20St%2C%20Medfield%2C%20MA%2002052,Calls/proposals posted seasonally; terms vary by show/prospectus.,Long-running nonprofit gallery with rotating exhibits and events in Medfield center.,,,unclaimed,,zullogallery.org
